"","playerId","season","name","team","position","games_played","icetime","shifts","gameScore","I_F_xGoals","I_F_xRebounds","Assists","I_F_points","I_F_goals","I_F_rebounds","I_F_hits","I_F_takeaways","I_F_giveaways","lowDangerGoaAbvExp","medDangerGoaAbvExp","highDangerGoaAbvExp","faceoffsWon","penalityMinutes","penalityMinutesDrawn","shotsBlockedByPlayer","subsetclust1"
"1",8477492,2023,"Nathan MacKinnon","COL","C",81,111187,1930,153.38,37.25,27.33,87,138,51,32,55,41,82,-2.21,-9.09,-2.44,605,32,66,69,2
"2",8478402,2022,"Connor McDavid","EDM","C",82,110137,1913,151.69,45.31,26.02,89,153,64,27,89,82,77,-8.84,-6.19,-3.66,525,36,86,40,2
"3",8478420,2022,"Mikko Rantanen","COL","R",82,109343,1995,111.99,38.53,22.67,50,105,55,22,77,61,45,-6.65,-8.29,-1.53,222,62,62,41,2
"4",8478420,2023,"Mikko Rantanen","COL","R",79,108792,1839,109.28,33.15,20.6,62,103,41,18,53,43,43,-7.75,2.99,-3.09,271,50,42,48,2
"5",8477934,2021,"Leon Draisaitl","EDM","C",80,107276,1827,103.83,42.54,21.7,55,110,55,21,53,74,88,0.4,-4.33,-8.53,887,40,56,25,2
"6",8478402,2021,"Connor McDavid","EDM","C",80,105918,1757,136.31,42.51,24.2,79,123,44,27,75,73,68,-0.66,1.46,-2.29,562,35,104,26,2
"7",8477934,2022,"Leon Draisaitl","EDM","C",80,104323,1817,119.11,35.67,18.79,76,128,52,22,66,77,102,-6.46,-9.81,-0.06,807,24,44,40,2
"8",8476389,2023,"Vincent Trocheck","NYR","C",81,104188,1979,86.69,33.32,19.54,52,77,25,34,175,49,34,1.59,3.28,3.45,875,55,49,84,2
"9",8480018,2022,"Nick Suzuki","MTL","C",82,103790,1849,52.7,18.09,12.02,40,66,26,17,50,42,52,-2.35,-5.92,0.36,663,23,48,56,2
"10",8478398,2021,"Kyle Connor","WPG","L",79,103219,1892,88.08,35.14,20.49,46,93,47,17,32,66,47,-0.75,-6.61,-4.5,1,4,12,23,2
"11",8479337,2021,"Alex DeBrincat","CHI","L",82,102613,1895,74.99,31.16,17.59,37,78,41,18,101,67,47,-3.73,-3.76,-2.34,24,19,51,35,2
"12",8476453,2023,"Nikita Kucherov","TBL","R",79,102435,1751,131.8,33.14,22.13,98,141,43,22,44,60,95,-5.52,-1.03,-3.31,2,22,44,34,2
"13",8474141,2021,"Patrick Kane","CHI","R",78,102133,1798,83.93,21.26,18.6,66,92,26,6,11,42,49,-3.07,-0.88,-0.79,4,18,30,26,2
"14",8478483,2022,"Mitchell Marner","TOR","R",80,102126,1929,95.26,20.39,13.38,69,99,30,22,53,104,94,-1.97,-5.31,-2.34,0,28,42,45,2
"15",8479343,2022,"Clayton Keller","ARI","R",82,102091,2067,77.36,24.95,16.13,49,86,37,16,18,58,63,-8.44,-0.24,-3.37,22,39,50,34,2
"16",8480023,2023,"Robert Thomas","STL","C",81,101972,1871,74.11,22.44,13.24,60,85,25,19,16,69,54,-3.65,3.01,-1.92,869,38,34,46,2
"17",8480018,2023,"Nick Suzuki","MTL","C",80,101880,1832,69.1,21.48,14.07,43,76,33,12,68,38,61,-9.63,-2.01,0.12,671,36,40,44,2
"18",8476468,2021,"J.T. Miller","VAN","C",80,101075,2069,92.66,28.79,14.77,67,99,32,22,172,56,62,-5.4,0.88,1.31,667,47,43,56,2
"19",8477456,2022,"J.T. Compher","COL","L",82,101060,2073,54.76,18.6,12.42,35,52,17,13,37,28,28,0.29,-0.04,1.34,813,33,35,82,2
"20",8478398,2022,"Kyle Connor","WPG","L",82,101004,1863,80.05,33.07,20.33,49,80,31,19,43,42,40,-6.53,3.53,5.07,2,20,20,24,2
"21",8471685,2021,"Anze Kopitar","LAK","C",81,100940,1980,77.22,20.76,14.78,48,67,19,15,72,48,30,-0.5,2.56,-0.29,858,14,28,71,2
"22",8480018,2021,"Nick Suzuki","MTL","C",82,100910,1978,50.28,18.81,12.77,40,61,21,17,89,50,71,-1.26,0.26,-1.2,699,30,50,62,2
"23",8476468,2022,"J.T. Miller","VAN","C",81,100503,2039,77.15,24.64,16.09,50,82,32,20,200,58,46,-4.03,2.4,-5.73,487,60,58,51,2
"24",8471685,2022,"Anze Kopitar","LAK","C",82,99887,1984,77.68,23.9,12.69,46,74,28,17,68,46,49,1.95,-5.36,-0.7,899,4,22,87,2
"25",8476460,2022,"Mark Scheifele","WPG","C",81,99527,1784,70.11,32.69,17.39,26,68,42,15,50,61,45,-4.97,-4.96,0.62,579,33,57,38,2
"26",8482116,2022,"Tim Sttzle","OTT","L",78,99520,2021,94.18,32.58,17.78,51,90,39,21,114,61,62,0.48,-4.96,-1.95,202,54,68,49,2
"27",8479318,2023,"Auston Matthews","TOR","C",79,99465,1800,126.29,49.21,29.01,38,107,69,35,88,84,52,-14.66,-5.95,0.82,696,8,34,91,2
"28",8471675,2022,"Sidney Crosby","PIT","C",82,99106,1945,100.72,33.31,19.79,60,93,33,35,71,59,67,-5.71,4.03,1.99,978,32,44,47,2
"29",8476453,2022,"Nikita Kucherov","TBL","R",82,99051,1754,110.74,30.23,20.33,83,113,30,29,61,57,98,-0.82,1.94,-0.89,2,36,72,28,2
"30",8480012,2022,"Elias Pettersson","VAN","C",80,98663,1972,99.4,30.48,20.29,63,102,39,27,74,56,47,-2.54,-3.93,-2.05,442,14,78,89,2
"31",8477933,2023,"Sam Reinhart","FLA","C",81,98576,1992,103.93,42.88,20.27,37,92,55,36,74,40,35,-2.03,-10.22,0.14,233,31,25,66,2
"32",8477934,2023,"Leon Draisaitl","EDM","C",79,98484,1725,106.35,30.5,17.26,63,104,41,21,58,82,89,-5.58,-3.52,-1.4,807,56,42,26,2
"33",8476459,2022,"Mika Zibanejad","NYR","C",82,98214,1806,87.68,30.49,18.82,52,91,39,15,71,57,67,-4.85,-4.11,0.45,692,20,48,48,2
