playerId,season,name,team,position,games_played,icetime,GoalsSavedAbvExp,xGoals,goals,ReboundsAbvExp,XPlayConAbvExp,lowDangerGoalAbvExp,medDangerGoalAbvExp,highDangerGoalAbvExp,penalityMinutes
8477424,2021,Juuse Saros,NSH,G,67,235883,20.69,193.69,173,28.34,261.73,10.56,5.37,4.77,0
8476945,2021,Connor Hellebuyck,WPG,G,66,234210,16.65,209.65,193,-27.29,180.89,9.46,1.31,5.88,0
8477424,2022,Juuse Saros,NSH,G,64,228599,46.67,217.67,171,-52.53,258.03,20.59,9.57,16.51,0
8476945,2022,Connor Hellebuyck,WPG,G,64,226680,30.77,187.77,157,-47.52,146.74,9.2,10.69,10.88,0
8476883,2021,Andrei Vasilevskiy,TBL,G,63,225645,28.41,184.41,156,6.34,259.83,7.21,15.08,6.11,6
8477967,2021,Thatcher Demko,VAN,G,64,222039,10.5,178.5,168,-9.34,219.17,1.13,4.56,4.81,2
8480382,2022,Alexandar Georgiev,COL,G,62,222020,21.92,177.92,156,-51.83,284.31,-7.97,9.18,20.72,0
8474593,2021,Jacob Markstrom,CGY,G,63,221750,10.84,147.84,137,-3.5,277.69,2.52,6.84,1.49,10
8479979,2022,Jake Oettinger,DAL,G,62,218693,11.82,155.82,144,-23.69,121.32,4.21,1.52,6.09,2
8480382,2023,Alexandar Georgiev,COL,G,63,218277,4.97,187.97,183,-78.96,137.81,-6.69,-1.26,12.93,4
8477424,2023,Juuse Saros,NSH,G,64,217478,-2.97,170.03,173,-72.11,81.94,-13.87,-3.6,14.5,2
8476883,2022,Andrei Vasilevskiy,TBL,G,60,215785,25.34,184.34,159,-39.12,198.56,-1.25,13.14,13.45,0
8478009,2022,Ilya Sorokin,NYI,G,62,215224,38.65,178.65,140,-83.84,147.22,8.94,4.2,25.5,0
8476945,2023,Connor Hellebuyck,WPG,G,60,214040,33.12,175.12,142,-94.57,132.27,5.73,13.54,13.85,2
8476412,2022,Jordan Binnington,STL,G,61,210964,-9.16,184.84,194,-63.22,168.7,-3.36,-6.6,0.79,9
8478048,2022,Igor Shesterkin,NYR,G,58,209326,28.05,172.05,144,-37.28,24.67,-4.58,19.66,12.96,2
8477465,2021,Tristan Jarry,PIT,G,58,204911,12.76,150.76,138,-22.08,197.02,2.44,-1.28,11.6,6
8475683,2023,Sergei Bobrovsky,FLA,G,58,204854,15.55,150.55,135,-36.64,89.35,2.87,4.97,7.7,4
8474593,2022,Jacob Markstrom,CGY,G,59,204650,-3.1,162.9,166,-49.52,257.35,-3.18,-4.18,4.25,4
8479973,2023,Stuart Skinner,EDM,G,59,201681,1.98,148.98,147,-40.51,90.56,-10.77,-0.07,12.83,0
8478009,2023,Ilya Sorokin,NYI,G,56,199559,1.43,168.43,167,-74.6,63.75,-16.38,-3.3,21.11,0
8478007,2021,Elvis Merzlikins,CBJ,G,59,199207,4.03,182.03,178,5.73,261.19,-2.65,-5.3,11.99,8
8476412,2023,Jordan Binnington,STL,G,57,197489,16.5,172.5,156,-60.1,114.87,-5.48,5.09,16.88,8
8470594,2021,Marc-Andre Fleury,MIN,G,56,197092,-17.61,141.39,159,-10.01,171.2,-17.64,5.37,-5.34,2
8478048,2023,Igor Shesterkin,NYR,G,55,196626,12.08,153.08,141,-77.58,112.9,-3.46,-2.58,18.12,6
8475311,2021,Darcy Kuemper,COL,G,57,195525,20.97,158.97,138,-26.79,248.93,0.07,12.61,8.3,2
8476434,2021,John Gibson,ANA,G,56,194135,-14.26,157.74,172,-22.12,231.48,-17.16,-13.19,16.07,12
8477968,2021,Alex Nedeljkovic,DET,G,59,193848,-6.93,171.07,178,11.29,203.65,-10.57,4.9,-1.25,2
8475311,2022,Darcy Kuemper,WSH,G,57,193427,8.76,162.76,154,-34.21,167.15,7.45,1.72,-0.41,4
8478024,2022,Ville Husso,DET,G,56,193214,-14.69,152.31,167,-36.71,139.23,-19.84,-6.93,12.07,0
8479394,2022,Carter Hart,PHI,G,55,189826,10.28,165.28,155,-32.41,153.77,4.71,-6.3,11.86,0
8475852,2023,Petr Mrazek,CHI,G,56,189160,1.6,161.6,160,-50.83,86.18,-8.15,-9.84,19.59,4
8475660,2023,Cam Talbot,LAK,G,54,186967,10.74,140.74,130,-39.88,89.44,-5.51,4.35,11.9,4
8475831,2021,Philipp Grubauer,SEA,G,55,186685,-33.74,130.26,164,-20.69,227.19,-13.74,-14.81,-5.19,0
8479979,2023,Jake Oettinger,DAL,G,54,185075,1.95,141.95,140,-19.21,99.07,-1.37,-9.78,13.11,2
8475683,2021,Sergei Bobrovsky,FLA,G,54,184930,23.39,160.39,137,-55.16,187.79,3.99,3.69,15.72,4
8480045,2023,Ukko-Pekka Luukkonen,BUF,G,54,184874,9.45,141.45,132,-44.56,106.99,-9.35,11.98,6.83,8
8476914,2023,Joonas Korpisalo,OTT,G,55,184828,-16.05,151.95,168,-81.97,112.82,-15.52,-19.83,19.3,0
8478009,2021,Ilya Sorokin,NYI,G,52,184337,12.77,135.77,123,-7.84,166.09,-6.65,8.82,10.6,0
8475883,2021,Frederik Andersen,CAR,G,52,184253,27.82,138.82,111,-26.7,175,5.18,10.16,12.47,0
8478048,2021,Igor Shesterkin,NYR,G,53,184232,34.1,140.1,106,-16.46,185.87,8.57,15.6,9.92,2
